,unique_id,forecast_month,forecast_data,forecast_quantity
34,AWC Logo Cap_Discount Tours_California,2,2014-07-01,3.0
35,AWC Logo Cap_Discount Tours_California,3,2014-08-01,3.0
36,AWC Logo Cap_Eastside Department Store_California,1,2014-06-01,11.0
37,AWC Logo Cap_Eastside Department Store_California,2,2014-07-01,11.0
38,AWC Logo Cap_Eastside Department Store_California,3,2014-08-01,11.0
39,AWC Logo Cap_Exhilarating Cycles_Michigan,1,2014-06-01,12.0
40,AWC Logo Cap_Exhilarating Cycles_Michigan,2,2014-07-01,12.0
41,AWC Logo Cap_Exhilarating Cycles_Michigan,3,2014-08-01,12.0
42,"AWC Logo Cap_Fabrikam Inc., West_Michigan",1,2014-06-01,4.0
43,"AWC Logo Cap_Fabrikam Inc., West_Michigan",2,2014-07-01,4.0
44,"AWC Logo Cap_Fabrikam Inc., West_Michigan",3,2014-08-01,4.0
45,AWC Logo Cap_Farthermost Bike Shop_California,1,2014-06-01,2.0
46,AWC Logo Cap_Farthermost Bike Shop_California,2,2014-07-01,2.0
47,AWC Logo Cap_Farthermost Bike Shop_California,3,2014-08-01,2.0
48,AWC Logo Cap_Fashionable Department Stores_New York,1,2014-06-01,8.0
49,AWC Logo Cap_Fashionable Department Stores_New York,2,2014-07-01,8.0
50,AWC Logo Cap_Fashionable Department Stores_New York,3,2014-08-01,8.0
51,AWC Logo Cap_Field Trip Store_Colorado,1,2014-06-01,5.0
52,AWC Logo Cap_Field Trip Store_Colorado,2,2014-07-01,5.0
53,AWC Logo Cap_Field Trip Store_Colorado,3,2014-08-01,5.0
54,AWC Logo Cap_Finer Riding Supplies_Canada,1,2014-06-01,6.0
55,AWC Logo Cap_Finer Riding Supplies_Canada,2,2014-07-01,6.0
56,AWC Logo Cap_Finer Riding Supplies_Canada,3,2014-08-01,6.0
57,AWC Logo Cap_Futuristic Sport Distributors_Colorado,1,2014-06-01,8.0
58,AWC Logo Cap_Futuristic Sport Distributors_Colorado,2,2014-07-01,8.0
59,AWC Logo Cap_Futuristic Sport Distributors_Colorado,3,2014-08-01,8.0
60,AWC Logo Cap_Gasless Cycle Shop_Canada,1,2014-06-01,2.0
61,AWC Logo Cap_Gasless Cycle Shop_Canada,2,2014-07-01,2.0
62,AWC Logo Cap_Gasless Cycle Shop_Canada,3,2014-08-01,2.0
63,AWC Logo Cap_General Bike Corporation_Canada,1,2014-06-01,3.0
64,AWC Logo Cap_General Bike Corporation_Canada,2,2014-07-01,3.0
65,AWC Logo Cap_General Bike Corporation_Canada,3,2014-08-01,3.0
66,AWC Logo Cap_General Industries_Canada,1,2014-06-01,6.0
67,AWC Logo Cap_General Industries_Canada,2,2014-07-01,6.0
68,AWC Logo Cap_General Industries_Canada,3,2014-08-01,6.0
69,AWC Logo Cap_General Supplies_Canada,1,2014-06-01,9.0
70,AWC Logo Cap_General Supplies_Canada,2,2014-07-01,9.0
71,AWC Logo Cap_General Supplies_Canada,3,2014-08-01,9.0
72,AWC Logo Cap_Gift and Toy Store_Illinois,1,2014-06-01,1.0
73,AWC Logo Cap_Gift and Toy Store_Illinois,2,2014-07-01,1.0
74,AWC Logo Cap_Gift and Toy Store_Illinois,3,2014-08-01,1.0
75,AWC Logo Cap_Good Bike Shop_Wisconsin,1,2014-06-01,4.0
76,AWC Logo Cap_Good Bike Shop_Wisconsin,2,2014-07-01,4.0
77,AWC Logo Cap_Good Bike Shop_Wisconsin,3,2014-08-01,4.0
78,AWC Logo Cap_Grease and Oil Products Company_Texas,1,2014-06-01,1.0
79,AWC Logo Cap_Grease and Oil Products Company_Texas,2,2014-07-01,1.0
80,AWC Logo Cap_Grease and Oil Products Company_Texas,3,2014-08-01,1.0
81,AWC Logo Cap_Great Bikes _Wyoming,1,2014-06-01,5.0
82,AWC Logo Cap_Great Bikes _Wyoming,2,2014-07-01,5.0
83,AWC Logo Cap_Great Bikes _Wyoming,3,2014-08-01,5.0
84,AWC Logo Cap_Highway Bike Shop_California,1,2014-06-01,4.0
85,AWC Logo Cap_Highway Bike Shop_California,2,2014-07-01,4.0
86,AWC Logo Cap_Highway Bike Shop_California,3,2014-08-01,4.0
87,AWC Logo Cap_Initial Bike Company_Colorado,1,2014-06-01,4.0
88,AWC Logo Cap_Initial Bike Company_Colorado,2,2014-07-01,4.0
89,AWC Logo Cap_Initial Bike Company_Colorado,3,2014-08-01,4.0
90,AWC Logo Cap_Juvenile Sports Equipment_Florida,1,2014-06-01,5.0
91,AWC Logo Cap_Juvenile Sports Equipment_Florida,2,2014-07-01,5.0
92,AWC Logo Cap_Juvenile Sports Equipment_Florida,3,2014-08-01,5.0
93,AWC Logo Cap_Larger Cycle Shop_New York,1,2014-06-01,5.0
94,AWC Logo Cap_Larger Cycle Shop_New York,2,2014-07-01,5.0
95,AWC Logo Cap_Larger Cycle Shop_New York,3,2014-08-01,5.0
96,AWC Logo Cap_Latest Sports Equipment_Washington,1,2014-06-01,3.0
97,AWC Logo Cap_Latest Sports Equipment_Washington,2,2014-07-01,3.0
98,AWC Logo Cap_Latest Sports Equipment_Washington,3,2014-08-01,3.0
99,AWC Logo Cap_Many Bikes Store_California,1,2014-06-01,3.0
100,AWC Logo Cap_Many Bikes Store_California,2,2014-07-01,3.0
101,AWC Logo Cap_Many Bikes Store_California,3,2014-08-01,3.0
102,AWC Logo Cap_Mechanical Products Ltd._California,1,2014-06-01,1.0
103,AWC Logo Cap_Mechanical Products Ltd._California,2,2014-07-01,1.0
104,AWC Logo Cap_Mechanical Products Ltd._California,3,2014-08-01,1.0
105,AWC Logo Cap_Mechanical Sports Center_Ohio,1,2014-06-01,2.0
106,AWC Logo Cap_Mechanical Sports Center_Ohio,2,2014-07-01,2.0
107,AWC Logo Cap_Mechanical Sports Center_Ohio,3,2014-08-01,2.0
108,AWC Logo Cap_Metal Processing Company_Canada,1,2014-06-01,2.0
109,AWC Logo Cap_Metal Processing Company_Canada,2,2014-07-01,2.0
110,AWC Logo Cap_Metal Processing Company_Canada,3,2014-08-01,2.0
111,AWC Logo Cap_Metropolitan Equipment_France,1,2014-06-01,6.0
112,AWC Logo Cap_Metropolitan Equipment_France,2,2014-07-01,6.0
113,AWC Logo Cap_Metropolitan Equipment_France,3,2014-08-01,6.0
114,AWC Logo Cap_Orange Bicycle Company_Illinois,1,2014-06-01,1.0
115,AWC Logo Cap_Orange Bicycle Company_Illinois,2,2014-07-01,1.0
116,AWC Logo Cap_Orange Bicycle Company_Illinois,3,2014-08-01,1.0
117,AWC Logo Cap_Original Bicycle Supply Company_Canada,1,2014-06-01,8.0
118,AWC Logo Cap_Original Bicycle Supply Company_Canada,2,2014-07-01,8.0
119,AWC Logo Cap_Original Bicycle Supply Company_Canada,3,2014-08-01,8.0
120,AWC Logo Cap_Paint Supply_Texas,1,2014-06-01,4.0
121,AWC Logo Cap_Paint Supply_Texas,2,2014-07-01,4.0
122,AWC Logo Cap_Paint Supply_Texas,3,2014-08-01,4.0
123,AWC Logo Cap_Painters Bicycle Specialists_Connecticut,1,2014-06-01,4.0
124,AWC Logo Cap_Painters Bicycle Specialists_Connecticut,2,2014-07-01,4.0
125,AWC Logo Cap_Painters Bicycle Specialists_Connecticut,3,2014-08-01,4.0
126,AWC Logo Cap_Preferred Bikes_California,1,2014-06-01,2.0
127,AWC Logo Cap_Preferred Bikes_California,2,2014-07-01,2.0
128,AWC Logo Cap_Preferred Bikes_California,3,2014-08-01,2.0
129,AWC Logo Cap_Prosperous Tours_United Kingdom,1,2014-06-01,6.0
130,AWC Logo Cap_Prosperous Tours_United Kingdom,2,2014-07-01,6.0
131,AWC Logo Cap_Prosperous Tours_United Kingdom,3,2014-08-01,6.0
132,AWC Logo Cap_Rally Day Mall_Florida,1,2014-06-01,2.0
133,AWC Logo Cap_Rally Day Mall_Florida,2,2014-07-01,2.0
134,AWC Logo Cap_Rally Day Mall_Florida,3,2014-08-01,2.0
135,AWC Logo Cap_Rapid Bikes_Canada,1,2014-06-01,12.0
136,AWC Logo Cap_Rapid Bikes_Canada,2,2014-07-01,12.0
137,AWC Logo Cap_Rapid Bikes_Canada,3,2014-08-01,12.0
138,AWC Logo Cap_Real Sporting Goods_Arizona,1,2014-06-01,16.0
139,AWC Logo Cap_Real Sporting Goods_Arizona,2,2014-07-01,16.0
140,AWC Logo Cap_Real Sporting Goods_Arizona,3,2014-08-01,16.0
141,AWC Logo Cap_Reasonable Bicycle Sales_Colorado,1,2014-06-01,6.0
142,AWC Logo Cap_Reasonable Bicycle Sales_Colorado,2,2014-07-01,6.0
143,AWC Logo Cap_Reasonable Bicycle Sales_Colorado,3,2014-08-01,6.0
144,AWC Logo Cap_Registered Cycle Store_France,1,2014-06-01,12.0
145,AWC Logo Cap_Registered Cycle Store_France,2,2014-07-01,12.0
146,AWC Logo Cap_Registered Cycle Store_France,3,2014-08-01,12.0
147,AWC Logo Cap_Resale Services_California,1,2014-06-01,7.0
148,AWC Logo Cap_Resale Services_California,2,2014-07-01,7.0
149,AWC Logo Cap_Resale Services_California,3,2014-08-01,7.0
150,AWC Logo Cap_Retail Mall_Canada,1,2014-06-01,10.0
151,AWC Logo Cap_Retail Mall_Canada,2,2014-07-01,10.0
152,AWC Logo Cap_Retail Mall_Canada,3,2014-08-01,10.0
153,AWC Logo Cap_Retail Sales and Service_New Hampshire,1,2014-06-01,2.0
154,AWC Logo Cap_Retail Sales and Service_New Hampshire,2,2014-07-01,2.0
155,AWC Logo Cap_Retail Sales and Service_New Hampshire,3,2014-08-01,2.0
156,AWC Logo Cap_Rewarding Activities Company_Canada,1,2014-06-01,14.0
157,AWC Logo Cap_Rewarding Activities Company_Canada,2,2014-07-01,14.0
158,AWC Logo Cap_Rewarding Activities Company_Canada,3,2014-08-01,14.0
159,AWC Logo Cap_Safe Cycles Shop_Washington,1,2014-06-01,2.0
160,AWC Logo Cap_Safe Cycles Shop_Washington,2,2014-07-01,2.0
161,AWC Logo Cap_Safe Cycles Shop_Washington,3,2014-08-01,2.0
162,AWC Logo Cap_Sales and Supply Company_Virginia,1,2014-06-01,8.0
163,AWC Logo Cap_Sales and Supply Company_Virginia,2,2014-07-01,8.0
164,AWC Logo Cap_Sales and Supply Company_Virginia,3,2014-08-01,8.0
165,AWC Logo Cap_Separate Parts Corporation_California,1,2014-06-01,2.0
166,AWC Logo Cap_Separate Parts Corporation_California,2,2014-07-01,2.0
167,AWC Logo Cap_Separate Parts Corporation_California,3,2014-08-01,2.0
168,AWC Logo Cap_Seventh Bike Store_New Hampshire,1,2014-06-01,4.0
169,AWC Logo Cap_Seventh Bike Store_New Hampshire,2,2014-07-01,4.0
170,AWC Logo Cap_Seventh Bike Store_New Hampshire,3,2014-08-01,4.0
171,AWC Logo Cap_Sheet Metal Manufacturing_Texas,1,2014-06-01,4.0
172,AWC Logo Cap_Sheet Metal Manufacturing_Texas,2,2014-07-01,4.0
173,AWC Logo Cap_Sheet Metal Manufacturing_Texas,3,2014-08-01,4.0
174,AWC Logo Cap_Small Cycle Store_Michigan,1,2014-06-01,1.0
175,AWC Logo Cap_Small Cycle Store_Michigan,2,2014-07-01,1.0
176,AWC Logo Cap_Small Cycle Store_Michigan,3,2014-08-01,1.0
177,AWC Logo Cap_Spare Parts Co._France,1,2014-06-01,2.0
178,AWC Logo Cap_Spare Parts Co._France,2,2014-07-01,2.0
179,AWC Logo Cap_Spare Parts Co._France,3,2014-08-01,2.0
180,AWC Logo Cap_Steel Inc._France,1,2014-06-01,6.0
181,AWC Logo Cap_Steel Inc._France,2,2014-07-01,6.0
182,AWC Logo Cap_Steel Inc._France,3,2014-08-01,6.0
183,AWC Logo Cap_Successful Sales Company_Oregon,1,2014-06-01,1.0
184,AWC Logo Cap_Successful Sales Company_Oregon,2,2014-07-01,1.0
185,AWC Logo Cap_Successful Sales Company_Oregon,3,2014-08-01,1.0
186,AWC Logo Cap_Sundry Sporting Goods_Canada,1,2014-06-01,8.0
187,AWC Logo Cap_Sundry Sporting Goods_Canada,2,2014-07-01,8.0
188,AWC Logo Cap_Sundry Sporting Goods_Canada,3,2014-08-01,8.0
189,AWC Logo Cap_Tenth Bike Store_Canada,1,2014-06-01,5.0
190,AWC Logo Cap_Tenth Bike Store_Canada,2,2014-07-01,5.0
191,AWC Logo Cap_Tenth Bike Store_Canada,3,2014-08-01,5.0
192,AWC Logo Cap_The Gear Store_Texas,1,2014-06-01,3.0
193,AWC Logo Cap_The Gear Store_Texas,2,2014-07-01,3.0
194,AWC Logo Cap_The Gear Store_Texas,3,2014-08-01,3.0
195,AWC Logo Cap_Thorough Parts and Repair Services_Washington,1,2014-06-01,8.0
196,AWC Logo Cap_Thorough Parts and Repair Services_Washington,2,2014-07-01,8.0
197,AWC Logo Cap_Thorough Parts and Repair Services_Washington,3,2014-08-01,8.0
198,AWC Logo Cap_Top Sports Supply_Canada,1,2014-06-01,14.0
199,AWC Logo Cap_Top Sports Supply_Canada,2,2014-07-01,14.0
200,AWC Logo Cap_Top Sports Supply_Canada,3,2014-08-01,14.0
201,AWC Logo Cap_Totes & Baskets Company_Texas,1,2014-06-01,8.0
202,AWC Logo Cap_Totes & Baskets Company_Texas,2,2014-07-01,8.0
203,AWC Logo Cap_Totes & Baskets Company_Texas,3,2014-08-01,8.0
204,AWC Logo Cap_Trusted Catalog Store_Virginia,1,2014-06-01,3.0
205,AWC Logo Cap_Trusted Catalog Store_Virginia,2,2014-07-01,3.0
206,AWC Logo Cap_Trusted Catalog Store_Virginia,3,2014-08-01,3.0
207,AWC Logo Cap_Twelfth Bike Store_Canada,1,2014-06-01,7.0
208,AWC Logo Cap_Twelfth Bike Store_Canada,2,2014-07-01,7.0
209,AWC Logo Cap_Twelfth Bike Store_Canada,3,2014-08-01,7.0
210,AWC Logo Cap_Urban Sports Emporium_Canada,1,2014-06-01,1.0
211,AWC Logo Cap_Urban Sports Emporium_Canada,2,2014-07-01,1.0
212,AWC Logo Cap_Urban Sports Emporium_Canada,3,2014-08-01,1.0
213,AWC Logo Cap_Uttermost Bike Shop_United Kingdom,1,2014-06-01,7.0
214,AWC Logo Cap_Uttermost Bike Shop_United Kingdom,2,2014-07-01,7.0
215,AWC Logo Cap_Uttermost Bike Shop_United Kingdom,3,2014-08-01,7.0
216,AWC Logo Cap_Valuable Bike Parts Company_Florida,1,2014-06-01,4.0
217,AWC Logo Cap_Valuable Bike Parts Company_Florida,2,2014-07-01,4.0
218,AWC Logo Cap_Valuable Bike Parts Company_Florida,3,2014-08-01,4.0
219,AWC Logo Cap_Vigorous Exercise Company_Canada,1,2014-06-01,2.0
220,AWC Logo Cap_Vigorous Exercise Company_Canada,2,2014-07-01,2.0
221,AWC Logo Cap_Vigorous Exercise Company_Canada,3,2014-08-01,2.0
222,AWC Logo Cap_Wheelsets Storehouse_Maine,1,2014-06-01,4.0
223,AWC Logo Cap_Wheelsets Storehouse_Maine,2,2014-07-01,4.0
224,AWC Logo Cap_Wheelsets Storehouse_Maine,3,2014-08-01,4.0
225,AWC Logo Cap_World of Bikes_Missouri,1,2014-06-01,6.0
226,AWC Logo Cap_World of Bikes_Missouri,2,2014-07-01,6.0
227,AWC Logo Cap_World of Bikes_Missouri,3,2014-08-01,6.0
228,AWC Logo Cap_eCommerce Bikes_Mississippi,1,2014-06-01,16.0
229,AWC Logo Cap_eCommerce Bikes_Mississippi,2,2014-07-01,16.0
230,AWC Logo Cap_eCommerce Bikes_Mississippi,3,2014-08-01,16.0
231,"HL Mountain Frame - Black, 38_Bicycle Lines Distributors_Missouri",1,2014-06-01,3.0
232,"HL Mountain Frame - Black, 38_Bicycle Lines Distributors_Missouri",2,2014-07-01,3.0
233,"HL Mountain Frame - Black, 38_Bicycle Lines Distributors_Missouri",3,2014-08-01,3.0
234,"HL Mountain Frame - Black, 38_Chic Department Stores_Texas",1,2014-06-01,2.0
235,"HL Mountain Frame - Black, 38_Chic Department Stores_Texas",2,2014-07-01,2.0
236,"HL Mountain Frame - Black, 38_Chic Department Stores_Texas",3,2014-08-01,2.0
237,"HL Mountain Frame - Black, 38_Closeout Boutique_Washington",1,2014-06-01,2.0
238,"HL Mountain Frame - Black, 38_Closeout Boutique_Washington",2,2014-07-01,2.0
239,"HL Mountain Frame - Black, 38_Closeout Boutique_Washington",3,2014-08-01,2.0
240,"HL Mountain Frame - Black, 38_Extraordinary Bike Works_Texas",1,2014-06-01,4.0
241,"HL Mountain Frame - Black, 38_Extraordinary Bike Works_Texas",2,2014-07-01,4.0
242,"HL Mountain Frame - Black, 38_Extraordinary Bike Works_Texas",3,2014-08-01,4.0
243,"HL Mountain Frame - Black, 38_Fashionable Bikes and Accessories_Utah",1,2014-06-01,1.0
244,"HL Mountain Frame - Black, 38_Fashionable Bikes and Accessories_Utah",2,2014-07-01,1.0
245,"HL Mountain Frame - Black, 38_Fashionable Bikes and Accessories_Utah",3,2014-08-01,1.0
246,"HL Mountain Frame - Black, 38_Fashionable Department Stores_New York",1,2014-06-01,2.0
247,"HL Mountain Frame - Black, 38_Fashionable Department Stores_New York",2,2014-07-01,2.0
248,"HL Mountain Frame - Black, 38_Fashionable Department Stores_New York",3,2014-08-01,2.0
249,"HL Mountain Frame - Black, 38_Genial Bike Associates_Texas",1,2014-06-01,1.0
250,"HL Mountain Frame - Black, 38_Genial Bike Associates_Texas",2,2014-07-01,1.0
251,"HL Mountain Frame - Black, 38_Genial Bike Associates_Texas",3,2014-08-01,1.0
252,"HL Mountain Frame - Black, 38_Golf and Cycle Store_California",1,2014-06-01,5.0
253,"HL Mountain Frame - Black, 38_Golf and Cycle Store_California",2,2014-07-01,5.0
254,"HL Mountain Frame - Black, 38_Golf and Cycle Store_California",3,2014-08-01,5.0
255,"HL Mountain Frame - Black, 38_Grand Discount Store_Indiana",1,2014-06-01,1.0
256,"HL Mountain Frame - Black, 38_Grand Discount Store_Indiana",2,2014-07-01,1.0
257,"HL Mountain Frame - Black, 38_Grand Discount Store_Indiana",3,2014-08-01,1.0
258,"HL Mountain Frame - Black, 38_Leather Seat Factory_Canada",1,2014-06-01,2.0
259,"HL Mountain Frame - Black, 38_Leather Seat Factory_Canada",2,2014-07-01,2.0
260,"HL Mountain Frame - Black, 38_Leather Seat Factory_Canada",3,2014-08-01,2.0
261,"HL Mountain Frame - Black, 38_Metropolitan Bicycle Supply_United Kingdom",1,2014-06-01,4.0
262,"HL Mountain Frame - Black, 38_Metropolitan Bicycle Supply_United Kingdom",2,2014-07-01,4.0
263,"HL Mountain Frame - Black, 38_Metropolitan Bicycle Supply_United Kingdom",3,2014-08-01,4.0
264,"HL Mountain Frame - Black, 38_Original Bicycle Supply Company_Canada",1,2014-06-01,4.0
265,"HL Mountain Frame - Black, 38_Original Bicycle Supply Company_Canada",2,2014-07-01,4.0
266,"HL Mountain Frame - Black, 38_Original Bicycle Supply Company_Canada",3,2014-08-01,4.0
267,"HL Mountain Frame - Black, 38_Paint Supply_Texas",1,2014-06-01,3.0
268,"HL Mountain Frame - Black, 38_Paint Supply_Texas",2,2014-07-01,3.0
269,"HL Mountain Frame - Black, 38_Paint Supply_Texas",3,2014-08-01,3.0
270,"HL Mountain Frame - Black, 38_Permanent Finish Products_Nevada",1,2014-06-01,4.0
271,"HL Mountain Frame - Black, 38_Permanent Finish Products_Nevada",2,2014-07-01,4.0
272,"HL Mountain Frame - Black, 38_Permanent Finish Products_Nevada",3,2014-08-01,4.0
273,"HL Mountain Frame - Black, 38_Rapid Bikes_Canada",1,2014-06-01,5.0
274,"HL Mountain Frame - Black, 38_Rapid Bikes_Canada",2,2014-07-01,5.0
275,"HL Mountain Frame - Black, 38_Rapid Bikes_Canada",3,2014-08-01,5.0
276,"HL Mountain Frame - Black, 38_Real Sporting Goods_Arizona",1,2014-06-01,4.0
277,"HL Mountain Frame - Black, 38_Real Sporting Goods_Arizona",2,2014-07-01,4.0
278,"HL Mountain Frame - Black, 38_Real Sporting Goods_Arizona",3,2014-08-01,4.0
279,"HL Mountain Frame - Black, 38_Registered Cycle Store_France",1,2014-06-01,3.0
280,"HL Mountain Frame - Black, 38_Registered Cycle Store_France",2,2014-07-01,3.0
281,"HL Mountain Frame - Black, 38_Registered Cycle Store_France",3,2014-08-01,3.0
282,"HL Mountain Frame - Black, 38_Safe Cycles Shop_Washington",1,2014-06-01,2.0
283,"HL Mountain Frame - Black, 38_Safe Cycles Shop_Washington",2,2014-07-01,2.0
284,"HL Mountain Frame - Black, 38_Safe Cycles Shop_Washington",3,2014-08-01,2.0
285,"HL Mountain Frame - Black, 38_Satin Finish Company_Texas",1,2014-06-01,2.0
286,"HL Mountain Frame - Black, 38_Satin Finish Company_Texas",2,2014-07-01,2.0
287,"HL Mountain Frame - Black, 38_Satin Finish Company_Texas",3,2014-08-01,2.0
288,"HL Mountain Frame - Black, 38_Top Sports Supply_Canada",1,2014-06-01,3.0
289,"HL Mountain Frame - Black, 38_Top Sports Supply_Canada",2,2014-07-01,3.0
290,"HL Mountain Frame - Black, 38_Top Sports Supply_Canada",3,2014-08-01,3.0
291,"HL Mountain Frame - Black, 38_Trailblazing Sports_California",1,2014-06-01,3.0
292,"HL Mountain Frame - Black, 38_Trailblazing Sports_California",2,2014-07-01,3.0
293,"HL Mountain Frame - Black, 38_Trailblazing Sports_California",3,2014-08-01,3.0
294,"HL Mountain Frame - Black, 38_Vigorous Exercise Company_Canada",1,2014-06-01,3.0
295,"HL Mountain Frame - Black, 38_Vigorous Exercise Company_Canada",2,2014-07-01,3.0
296,"HL Mountain Frame - Black, 38_Vigorous Exercise Company_Canada",3,2014-08-01,3.0
297,"HL Mountain Frame - Black, 38_eCommerce Bikes_Mississippi",1,2014-06-01,1.0
298,"HL Mountain Frame - Black, 38_eCommerce Bikes_Mississippi",2,2014-07-01,1.0
299,"HL Mountain Frame - Black, 38_eCommerce Bikes_Mississippi",3,2014-08-01,1.0
300,"HL Mountain Frame - Black, 42_Brakes and Gears_Utah",1,2014-06-01,4.0
301,"HL Mountain Frame - Black, 42_Brakes and Gears_Utah",2,2014-07-01,4.0
302,"HL Mountain Frame - Black, 42_Brakes and Gears_Utah",3,2014-08-01,4.0
303,"HL Mountain Frame - Black, 42_Casual Bicycle Store_New Hampshire",1,2014-06-01,2.0
304,"HL Mountain Frame - Black, 42_Casual Bicycle Store_New Hampshire",2,2014-07-01,2.0
305,"HL Mountain Frame - Black, 42_Casual Bicycle Store_New Hampshire",3,2014-08-01,2.0
306,"HL Mountain Frame - Black, 42_Catalog Store_Michigan",1,2014-06-01,1.0
307,"HL Mountain Frame - Black, 42_Catalog Store_Michigan",2,2014-07-01,1.0
308,"HL Mountain Frame - Black, 42_Catalog Store_Michigan",3,2014-08-01,1.0
309,"HL Mountain Frame - Black, 42_Chic Department Stores_Texas",1,2014-06-01,3.0
310,"HL Mountain Frame - Black, 42_Chic Department Stores_Texas",2,2014-07-01,3.0
311,"HL Mountain Frame - Black, 42_Chic Department Stores_Texas",3,2014-08-01,3.0
312,"HL Mountain Frame - Black, 42_Closeout Boutique_Washington",1,2014-06-01,6.0
313,"HL Mountain Frame - Black, 42_Closeout Boutique_Washington",2,2014-07-01,6.0
314,"HL Mountain Frame - Black, 42_Closeout Boutique_Washington",3,2014-08-01,6.0
315,"HL Mountain Frame - Black, 42_Extraordinary Bike Works_Texas",1,2014-06-01,1.0
316,"HL Mountain Frame - Black, 42_Extraordinary Bike Works_Texas",2,2014-07-01,1.0
317,"HL Mountain Frame - Black, 42_Extraordinary Bike Works_Texas",3,2014-08-01,1.0
318,"HL Mountain Frame - Black, 42_Fashionable Bikes and Accessories_Utah",1,2014-06-01,1.0
319,"HL Mountain Frame - Black, 42_Fashionable Bikes and Accessories_Utah",2,2014-07-01,1.0
320,"HL Mountain Frame - Black, 42_Fashionable Bikes and Accessories_Utah",3,2014-08-01,1.0
321,"HL Mountain Frame - Black, 42_Fashionable Department Stores_New York",1,2014-06-01,1.0
322,"HL Mountain Frame - Black, 42_Fashionable Department Stores_New York",2,2014-07-01,1.0
323,"HL Mountain Frame - Black, 42_Fashionable Department Stores_New York",3,2014-08-01,1.0
324,"HL Mountain Frame - Black, 42_Field Trip Store_Colorado",1,2014-06-01,4.0
325,"HL Mountain Frame - Black, 42_Field Trip Store_Colorado",2,2014-07-01,4.0
326,"HL Mountain Frame - Black, 42_Field Trip Store_Colorado",3,2014-08-01,4.0
327,"HL Mountain Frame - Black, 42_Genial Bike Associates_Texas",1,2014-06-01,3.0
328,"HL Mountain Frame - Black, 42_Genial Bike Associates_Texas",2,2014-07-01,3.0
329,"HL Mountain Frame - Black, 42_Genial Bike Associates_Texas",3,2014-08-01,3.0
330,"HL Mountain Frame - Black, 42_Golf and Cycle Store_California",1,2014-06-01,4.0
331,"HL Mountain Frame - Black, 42_Golf and Cycle Store_California",2,2014-07-01,4.0
332,"HL Mountain Frame - Black, 42_Golf and Cycle Store_California",3,2014-08-01,4.0
333,"HL Mountain Frame - Black, 42_Leather Seat Factory_Canada",1,2014-06-01,4.0
