nome_produto,nome_cliente,regiao,ano,mes,data_base,quantidade
AWC Logo Cap,Bike World,California,2013,7,2013-07-31,2
Hitch Rack - 4-Bike,Bike World,California,2013,7,2013-07-31,4
"Classic Vest, S",Bike World,California,2014,5,2014-05-01,6
"Women's Mountain Shorts, L",Bike World,California,2014,5,2014-05-01,4
"Mountain-200 Black, 38",Bike World,California,2014,5,2014-05-01,4
"Women's Mountain Shorts, S",Bike World,California,2014,5,2014-05-01,9
"Women's Mountain Shorts, M",Bike World,California,2014,5,2014-05-01,2
Water Bottle - 30 oz.,Bike World,California,2014,5,2014-05-01,2
Hitch Rack - 4-Bike,Bike World,California,2014,5,2014-05-01,3
"Short-Sleeve Classic Jersey, XL",Bike World,California,2014,5,2014-05-01,2
"Full-Finger Gloves, L",Bike World,California,2013,1,2013-01-28,16
"Mountain-200 Silver, 38",Bike World,California,2013,1,2013-01-28,3
"Mountain-200 Black, 38",Bike World,California,2013,1,2013-01-28,1
"Full-Finger Gloves, S",Bike World,California,2013,1,2013-01-28,5
"Mountain-200 Black, 42",Bike World,California,2013,1,2013-01-28,5
"Full-Finger Gloves, M",Bike World,California,2013,1,2013-01-28,3
"Short-Sleeve Classic Jersey, XL",Bike World,California,2013,10,2013-10-30,2
"Women's Mountain Shorts, S",Bike World,California,2013,10,2013-10-30,6
AWC Logo Cap,Bike World,California,2013,10,2013-10-30,3
"Women's Mountain Shorts, L",Bike World,California,2013,10,2013-10-30,6
"Mountain-200 Black, 38",Bike World,California,2013,10,2013-10-30,1
"Long-Sleeve Logo Jersey, L",Bike World,California,2013,10,2013-10-30,2
"Classic Vest, S",Bike World,California,2013,10,2013-10-30,3
"Women's Mountain Shorts, M",Bike World,California,2013,10,2013-10-30,4
Water Bottle - 30 oz.,Bike World,California,2013,10,2013-10-30,5
"Mountain-200 Black, 42",Bike World,California,2013,10,2013-10-30,1
Hitch Rack - 4-Bike,Bike World,California,2013,10,2013-10-30,1
"Women's Tights, S",Bike World,California,2012,7,2012-07-31,2
"Men's Bib-Shorts, M",Bike World,California,2012,7,2012-07-31,6
"Full-Finger Gloves, L",Bike World,California,2012,7,2012-07-31,8
"Mountain-200 Silver, 38",Bike World,California,2012,7,2012-07-31,2
"Full-Finger Gloves, S",Bike World,California,2012,7,2012-07-31,4
"Mountain-200 Black, 38",Bike World,California,2012,7,2012-07-31,4
"Long-Sleeve Logo Jersey, L",Bike World,California,2012,7,2012-07-31,4
"Mountain-200 Silver, 42",Bike World,California,2012,7,2012-07-31,4
"Sport-100 Helmet, Black",Bike World,California,2012,7,2012-07-31,1
AWC Logo Cap,Bike World,California,2012,7,2012-07-31,2
"Full-Finger Gloves, M",Bike World,California,2012,7,2012-07-31,10
"Mountain-200 Black, 42",Bike World,California,2012,7,2012-07-31,7
"Mountain-200 Silver, 38",Bike World,California,2013,4,2013-04-30,4
"Full-Finger Gloves, L",Bike World,California,2013,4,2013-04-30,3
"Long-Sleeve Logo Jersey, L",Bike World,California,2013,4,2013-04-30,2
"Mountain-200 Black, 38",Bike World,California,2013,4,2013-04-30,4
"Full-Finger Gloves, M",Bike World,California,2013,4,2013-04-30,6
"Full-Finger Gloves, S",Bike World,California,2013,4,2013-04-30,2
"Mountain-200 Black, 42",Bike World,California,2013,4,2013-04-30,3
"Women's Mountain Shorts, L",Bike World,California,2014,1,2014-01-29,3
"Mountain-200 Black, 38",Bike World,California,2014,1,2014-01-29,2
"Mountain-200 Black, 42",Bike World,California,2014,1,2014-01-29,4
"Women's Mountain Shorts, S",Bike World,California,2014,1,2014-01-29,6
"Women's Mountain Shorts, M",Bike World,California,2014,1,2014-01-29,3
"LL Road Frame - Red, 62",Fad Outlet,Oregon,2012,10,2012-10-30,7
"ML Road Frame-W - Yellow, 38",Fad Outlet,Oregon,2014,5,2014-05-01,1
"ML Road Frame-W - Yellow, 38",Fad Outlet,Oregon,2013,10,2013-10-30,3
"LL Road Frame - Red, 62",Fad Outlet,Oregon,2013,4,2013-04-30,4
"ML Road Frame-W - Yellow, 38",Fad Outlet,Oregon,2013,4,2013-04-30,3
Water Bottle - 30 oz.,Steel Inc.,France,2014,3,2014-03-01,4
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2014,3,2014-03-01,5
Hitch Rack - 4-Bike,Steel Inc.,France,2014,3,2014-03-01,13
"Road-750 Black, 52",Steel Inc.,France,2014,3,2014-03-01,5
"LL Road Frame - Black, 58",Steel Inc.,France,2014,3,2014-03-01,2
LL Road Pedal,Steel Inc.,France,2014,3,2014-03-01,1
Bike Wash - Dissolver,Steel Inc.,France,2014,3,2014-03-01,14
Patch Kit/8 Patches,Steel Inc.,France,2014,3,2014-03-01,4
"Sport-100 Helmet, Black",Steel Inc.,France,2014,3,2014-03-01,8
"Half-Finger Gloves, S",Steel Inc.,France,2014,3,2014-03-01,3
"Short-Sleeve Classic Jersey, XL",Steel Inc.,France,2014,3,2014-03-01,13
"Sport-100 Helmet, Red",Steel Inc.,France,2014,3,2014-03-01,10
ML Road Pedal,Steel Inc.,France,2014,3,2014-03-01,4
HL Road Pedal,Steel Inc.,France,2014,3,2014-03-01,3
"LL Road Frame - Black, 52",Steel Inc.,France,2014,3,2014-03-01,1
AWC Logo Cap,Steel Inc.,France,2014,3,2014-03-01,6
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2014,3,2014-03-01,3
"Road-750 Black, 48",Steel Inc.,France,2014,3,2014-03-01,2
"Classic Vest, M",Steel Inc.,France,2014,3,2014-03-01,4
"Short-Sleeve Classic Jersey, L",Steel Inc.,France,2014,3,2014-03-01,12
"ML Road Frame-W - Yellow, 38",Steel Inc.,France,2014,3,2014-03-01,3
Hydration Pack - 70 oz.,Steel Inc.,France,2014,3,2014-03-01,8
"Sport-100 Helmet, Blue",Steel Inc.,France,2014,3,2014-03-01,11
"Classic Vest, S",Steel Inc.,France,2014,3,2014-03-01,18
"Half-Finger Gloves, L",Steel Inc.,France,2014,3,2014-03-01,5
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2014,3,2014-03-01,7
"Road-350-W Yellow, 40",Steel Inc.,France,2014,3,2014-03-01,6
"Road-350-W Yellow, 48",Steel Inc.,France,2014,3,2014-03-01,9
"Short-Sleeve Classic Jersey, S",Steel Inc.,France,2014,3,2014-03-01,4
"Half-Finger Gloves, M",Steel Inc.,France,2014,3,2014-03-01,11
"Sport-100 Helmet, Blue",Steel Inc.,France,2012,11,2012-11-30,8
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2012,11,2012-11-30,1
Cable Lock,Steel Inc.,France,2012,11,2012-11-30,5
"Men's Bib-Shorts, M",Steel Inc.,France,2012,11,2012-11-30,2
"Road-650 Red, 44",Steel Inc.,France,2012,11,2012-11-30,4
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2012,11,2012-11-30,5
"Sport-100 Helmet, Black",Steel Inc.,France,2012,11,2012-11-30,3
"Sport-100 Helmet, Red",Steel Inc.,France,2012,11,2012-11-30,5
"Road-650 Black, 52",Steel Inc.,France,2012,11,2012-11-30,2
"Men's Sports Shorts, S",Steel Inc.,France,2012,11,2012-11-30,4
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2012,11,2012-11-30,5
"Men's Bib-Shorts, S",Steel Inc.,France,2012,11,2012-11-30,6
"Half-Finger Gloves, M",Steel Inc.,France,2012,11,2012-11-30,4
"Women's Tights, S",Steel Inc.,France,2012,11,2012-11-30,5
Minipump,Steel Inc.,France,2012,11,2012-11-30,2
"Men's Sports Shorts, M",Steel Inc.,France,2012,11,2012-11-30,7
"Women's Tights, L",Steel Inc.,France,2012,11,2012-11-30,3
Bike Wash - Dissolver,Steel Inc.,France,2013,8,2013-08-30,5
LL Road Pedal,Steel Inc.,France,2013,8,2013-08-30,4
"Road-750 Black, 48",Steel Inc.,France,2013,8,2013-08-30,9
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2013,8,2013-08-30,3
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2013,8,2013-08-30,2
"Half-Finger Gloves, L",Steel Inc.,France,2013,8,2013-08-30,8
"Short-Sleeve Classic Jersey, S",Steel Inc.,France,2013,8,2013-08-30,6
"Classic Vest, S",Steel Inc.,France,2013,8,2013-08-30,14
Water Bottle - 30 oz.,Steel Inc.,France,2013,8,2013-08-30,12
Hydration Pack - 70 oz.,Steel Inc.,France,2013,8,2013-08-30,9
"Half-Finger Gloves, M",Steel Inc.,France,2013,8,2013-08-30,8
"Short-Sleeve Classic Jersey, L",Steel Inc.,France,2013,8,2013-08-30,16
Hitch Rack - 4-Bike,Steel Inc.,France,2013,8,2013-08-30,6
"Short-Sleeve Classic Jersey, XL",Steel Inc.,France,2013,8,2013-08-30,13
"ML Road Frame-W - Yellow, 48",Steel Inc.,France,2013,8,2013-08-30,3
"Sport-100 Helmet, Black",Steel Inc.,France,2013,8,2013-08-30,8
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2013,8,2013-08-30,9
ML Road Pedal,Steel Inc.,France,2013,8,2013-08-30,2
"Sport-100 Helmet, Blue",Steel Inc.,France,2013,8,2013-08-30,5
AWC Logo Cap,Steel Inc.,France,2013,8,2013-08-30,4
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2013,8,2013-08-30,1
"Half-Finger Gloves, S",Steel Inc.,France,2013,8,2013-08-30,5
"Classic Vest, M",Steel Inc.,France,2013,8,2013-08-30,11
"Road-350-W Yellow, 40",Steel Inc.,France,2013,8,2013-08-30,2
"LL Road Frame - Black, 52",Steel Inc.,France,2013,8,2013-08-30,1
Patch Kit/8 Patches,Steel Inc.,France,2013,8,2013-08-30,2
HL Road Pedal,Steel Inc.,France,2013,8,2013-08-30,3
"LL Road Frame - Black, 58",Steel Inc.,France,2013,8,2013-08-30,2
"Sport-100 Helmet, Red",Steel Inc.,France,2013,8,2013-08-30,7
"Sport-100 Helmet, Black",Steel Inc.,France,2012,5,2012-05-30,11
"LL Road Frame - Black, 58",Steel Inc.,France,2012,5,2012-05-30,3
"Men's Bib-Shorts, S",Steel Inc.,France,2012,5,2012-05-30,2
"Half-Finger Gloves, M",Steel Inc.,France,2012,5,2012-05-30,9
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2012,5,2012-05-30,7
AWC Logo Cap,Steel Inc.,France,2012,5,2012-05-30,9
"Half-Finger Gloves, S",Steel Inc.,France,2012,5,2012-05-30,2
"LL Road Frame - Red, 44",Steel Inc.,France,2012,5,2012-05-30,7
"Women's Tights, M",Steel Inc.,France,2012,5,2012-05-30,3
"Sport-100 Helmet, Blue",Steel Inc.,France,2012,5,2012-05-30,8
"Road-650 Red, 60",Steel Inc.,France,2012,5,2012-05-30,3
"Half-Finger Gloves, L",Steel Inc.,France,2012,5,2012-05-30,4
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2012,5,2012-05-30,4
"Men's Sports Shorts, S",Steel Inc.,France,2012,5,2012-05-30,5
Cable Lock,Steel Inc.,France,2012,5,2012-05-30,5
"Men's Sports Shorts, L",Steel Inc.,France,2012,5,2012-05-30,4
"Sport-100 Helmet, Red",Steel Inc.,France,2012,5,2012-05-30,4
"Road-650 Red, 62",Steel Inc.,France,2012,5,2012-05-30,3
"Men's Sports Shorts, M",Steel Inc.,France,2012,5,2012-05-30,8
"Men's Bib-Shorts, M",Steel Inc.,France,2012,5,2012-05-30,5
"ML Road Frame-W - Yellow, 48",Steel Inc.,France,2012,5,2012-05-30,1
"Road-650 Red, 44",Steel Inc.,France,2012,5,2012-05-30,8
"LL Road Frame - Black, 52",Steel Inc.,France,2012,5,2012-05-30,3
"ML Road Frame-W - Yellow, 38",Steel Inc.,France,2012,5,2012-05-30,1
Minipump,Steel Inc.,France,2012,5,2012-05-30,13
"Women's Tights, S",Steel Inc.,France,2012,5,2012-05-30,15
"Men's Bib-Shorts, L",Steel Inc.,France,2012,5,2012-05-30,6
"Road-650 Black, 52",Steel Inc.,France,2012,5,2012-05-30,8
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2012,5,2012-05-30,5
"Road-250 Red, 48",Steel Inc.,France,2012,5,2012-05-30,6
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2012,5,2012-05-30,8
"Men's Bib-Shorts, L",Steel Inc.,France,2013,2,2013-02-28,1
"Women's Tights, L",Steel Inc.,France,2013,2,2013-02-28,4
"Half-Finger Gloves, L",Steel Inc.,France,2013,2,2013-02-28,4
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2013,2,2013-02-28,5
"ML Road Frame-W - Yellow, 38",Steel Inc.,France,2013,2,2013-02-28,2
Minipump,Steel Inc.,France,2013,2,2013-02-28,10
"Men's Sports Shorts, M",Steel Inc.,France,2013,2,2013-02-28,5
"Half-Finger Gloves, S",Steel Inc.,France,2013,2,2013-02-28,4
"Men's Sports Shorts, L",Steel Inc.,France,2013,2,2013-02-28,4
"Men's Sports Shorts, S",Steel Inc.,France,2013,2,2013-02-28,1
"Sport-100 Helmet, Red",Steel Inc.,France,2013,2,2013-02-28,2
"Road-650 Red, 44",Steel Inc.,France,2013,2,2013-02-28,3
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2013,2,2013-02-28,2
"Men's Bib-Shorts, M",Steel Inc.,France,2013,2,2013-02-28,11
"LL Road Frame - Black, 52",Steel Inc.,France,2013,2,2013-02-28,2
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2013,2,2013-02-28,2
"Women's Tights, M",Steel Inc.,France,2013,2,2013-02-28,4
"Sport-100 Helmet, Blue",Steel Inc.,France,2013,2,2013-02-28,2
AWC Logo Cap,Steel Inc.,France,2013,2,2013-02-28,11
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2013,2,2013-02-28,8
"Road-650 Red, 60",Steel Inc.,France,2013,2,2013-02-28,6
"Road-650 Black, 52",Steel Inc.,France,2013,2,2013-02-28,2
"Men's Bib-Shorts, S",Steel Inc.,France,2013,2,2013-02-28,2
"ML Road Frame-W - Yellow, 48",Steel Inc.,France,2013,2,2013-02-28,2
Cable Lock,Steel Inc.,France,2013,2,2013-02-28,4
"Half-Finger Gloves, M",Steel Inc.,France,2013,2,2013-02-28,1
"Women's Tights, S",Steel Inc.,France,2013,2,2013-02-28,3
"Sport-100 Helmet, Black",Steel Inc.,France,2013,2,2013-02-28,9
Hydration Pack - 70 oz.,Steel Inc.,France,2013,11,2013-11-30,3
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2013,11,2013-11-30,3
"Classic Vest, S",Steel Inc.,France,2013,11,2013-11-30,6
"Sport-100 Helmet, Blue",Steel Inc.,France,2013,11,2013-11-30,5
"Half-Finger Gloves, S",Steel Inc.,France,2013,11,2013-11-30,7
"Sport-100 Helmet, Red",Steel Inc.,France,2013,11,2013-11-30,4
"Short-Sleeve Classic Jersey, XL",Steel Inc.,France,2013,11,2013-11-30,6
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2013,11,2013-11-30,4
"Classic Vest, M",Steel Inc.,France,2013,11,2013-11-30,6
"Short-Sleeve Classic Jersey, L",Steel Inc.,France,2013,11,2013-11-30,4
Bike Wash - Dissolver,Steel Inc.,France,2013,11,2013-11-30,4
AWC Logo Cap,Steel Inc.,France,2013,11,2013-11-30,6
"Half-Finger Gloves, M",Steel Inc.,France,2013,11,2013-11-30,2
Water Bottle - 30 oz.,Steel Inc.,France,2013,11,2013-11-30,7
Hitch Rack - 4-Bike,Steel Inc.,France,2013,11,2013-11-30,4
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2013,11,2013-11-30,6
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2013,11,2013-11-30,1
"Sport-100 Helmet, Black",Steel Inc.,France,2013,11,2013-11-30,7
"Short-Sleeve Classic Jersey, S",Steel Inc.,France,2013,11,2013-11-30,8
"Road-350-W Yellow, 48",Steel Inc.,France,2013,11,2013-11-30,8
"Road-650 Red, 44",Steel Inc.,France,2012,8,2012-08-30,3
AWC Logo Cap,Steel Inc.,France,2012,8,2012-08-30,8
"Road-650 Red, 60",Steel Inc.,France,2012,8,2012-08-30,2
"Road-650 Red, 48",Steel Inc.,France,2012,8,2012-08-30,6
"Road-650 Black, 52",Steel Inc.,France,2012,8,2012-08-30,4
Cable Lock,Steel Inc.,France,2012,8,2012-08-30,3
"Women's Tights, M",Steel Inc.,France,2012,8,2012-08-30,3
"Women's Tights, L",Steel Inc.,France,2012,8,2012-08-30,12
"Men's Sports Shorts, M",Steel Inc.,France,2012,8,2012-08-30,4
"Half-Finger Gloves, M",Steel Inc.,France,2012,8,2012-08-30,3
"Half-Finger Gloves, S",Steel Inc.,France,2012,8,2012-08-30,5
"Sport-100 Helmet, Red",Steel Inc.,France,2012,8,2012-08-30,3
"Men's Bib-Shorts, L",Steel Inc.,France,2012,8,2012-08-30,6
"Sport-100 Helmet, Blue",Steel Inc.,France,2012,8,2012-08-30,2
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2012,8,2012-08-30,5
Minipump,Steel Inc.,France,2012,8,2012-08-30,6
"Men's Bib-Shorts, S",Steel Inc.,France,2012,8,2012-08-30,2
"Sport-100 Helmet, Black",Steel Inc.,France,2012,8,2012-08-30,10
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2012,8,2012-08-30,8
"Women's Tights, S",Steel Inc.,France,2012,8,2012-08-30,4
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2012,8,2012-08-30,2
"Men's Sports Shorts, S",Steel Inc.,France,2012,8,2012-08-30,4
"Men's Sports Shorts, L",Steel Inc.,France,2012,8,2012-08-30,2
"Road-650 Red, 62",Steel Inc.,France,2012,8,2012-08-30,13
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2012,8,2012-08-30,9
"Men's Bib-Shorts, M",Steel Inc.,France,2012,8,2012-08-30,7
"LL Road Frame - Red, 44",Steel Inc.,France,2012,8,2012-08-30,1
Water Bottle - 30 oz.,Steel Inc.,France,2013,5,2013-05-30,3
Hydration Pack - 70 oz.,Steel Inc.,France,2013,5,2013-05-30,2
ML Road Pedal,Steel Inc.,France,2013,5,2013-05-30,3
"Classic Vest, S",Steel Inc.,France,2013,5,2013-05-30,19
"Sport-100 Helmet, Blue",Steel Inc.,France,2013,5,2013-05-30,9
"LL Road Frame - Black, 52",Steel Inc.,France,2013,5,2013-05-30,3
"Half-Finger Gloves, S",Steel Inc.,France,2013,5,2013-05-30,3
"Long-Sleeve Logo Jersey, L",Steel Inc.,France,2013,5,2013-05-30,13
LL Road Pedal,Steel Inc.,France,2013,5,2013-05-30,8
"Road-350-W Yellow, 48",Steel Inc.,France,2013,5,2013-05-30,4
"Sport-100 Helmet, Red",Steel Inc.,France,2013,5,2013-05-30,16
"Long-Sleeve Logo Jersey, XL",Steel Inc.,France,2013,5,2013-05-30,7
AWC Logo Cap,Steel Inc.,France,2013,5,2013-05-30,17
"ML Road Frame-W - Yellow, 44",Steel Inc.,France,2013,5,2013-05-30,2
"Long-Sleeve Logo Jersey, M",Steel Inc.,France,2013,5,2013-05-30,6
"Classic Vest, M",Steel Inc.,France,2013,5,2013-05-30,13
"Short-Sleeve Classic Jersey, L",Steel Inc.,France,2013,5,2013-05-30,5
"Short-Sleeve Classic Jersey, XL",Steel Inc.,France,2013,5,2013-05-30,18
"Road-750 Black, 48",Steel Inc.,France,2013,5,2013-05-30,10
Hitch Rack - 4-Bike,Steel Inc.,France,2013,5,2013-05-30,18
"ML Road Frame-W - Yellow, 48",Steel Inc.,France,2013,5,2013-05-30,1
"Half-Finger Gloves, L",Steel Inc.,France,2013,5,2013-05-30,7
Bike Wash - Dissolver,Steel Inc.,France,2013,5,2013-05-30,16
"Half-Finger Gloves, M",Steel Inc.,France,2013,5,2013-05-30,15
"Road-750 Black, 52",Steel Inc.,France,2013,5,2013-05-30,2
Patch Kit/8 Patches,Steel Inc.,France,2013,5,2013-05-30,2
"Sport-100 Helmet, Black",Steel Inc.,France,2013,5,2013-05-30,14
"ML Road Frame-W - Yellow, 38",Steel Inc.,France,2013,5,2013-05-30,2
"Short-Sleeve Classic Jersey, S",Steel Inc.,France,2013,5,2013-05-30,13
HL Road Handlebars,Bike Goods ,Florida,2014,5,2014-05-01,4
HL Road Handlebars,Bike Goods ,Florida,2013,10,2013-10-30,2
"Racing Socks, L",Distant Inn,California,2014,3,2014-03-01,13
"Short-Sleeve Classic Jersey, L",Distant Inn,California,2014,3,2014-03-01,2
"Short-Sleeve Classic Jersey, XL",Distant Inn,California,2014,3,2014-03-01,5
"Road-350-W Yellow, 40",Distant Inn,California,2014,3,2014-03-01,4
"Road-750 Black, 48",Distant Inn,California,2014,3,2014-03-01,1
"Racing Socks, M",Distant Inn,California,2014,3,2014-03-01,6
HL Road Pedal,Distant Inn,California,2014,3,2014-03-01,2
"Road-750 Black, 52",Distant Inn,California,2014,3,2014-03-01,4
"Classic Vest, S",Distant Inn,California,2014,3,2014-03-01,3
Water Bottle - 30 oz.,Distant Inn,California,2014,3,2014-03-01,2
Hitch Rack - 4-Bike,Distant Inn,California,2014,3,2014-03-01,3
AWC Logo Cap,Distant Inn,California,2014,3,2014-03-01,3
"Road-350-W Yellow, 48",Distant Inn,California,2014,3,2014-03-01,3
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2014,3,2014-03-01,3
"Road-650 Black, 58",Distant Inn,California,2012,11,2012-11-30,2
"Road-650 Red, 44",Distant Inn,California,2012,11,2012-11-30,1
"Road-650 Red, 62",Distant Inn,California,2012,11,2012-11-30,3
"Classic Vest, S",Distant Inn,California,2013,8,2013-08-30,4
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2013,8,2013-08-30,1
"Short-Sleeve Classic Jersey, XL",Distant Inn,California,2013,8,2013-08-30,6
Hitch Rack - 4-Bike,Distant Inn,California,2013,8,2013-08-30,5
"Short-Sleeve Classic Jersey, L",Distant Inn,California,2013,8,2013-08-30,1
"Road-750 Black, 52",Distant Inn,California,2013,8,2013-08-30,1
"Racing Socks, L",Distant Inn,California,2013,8,2013-08-30,27
"Road-350-W Yellow, 40",Distant Inn,California,2013,8,2013-08-30,4
Water Bottle - 30 oz.,Distant Inn,California,2013,8,2013-08-30,1
"Racing Socks, M",Distant Inn,California,2013,8,2013-08-30,9
AWC Logo Cap,Distant Inn,California,2013,8,2013-08-30,5
"Road-750 Black, 48",Distant Inn,California,2013,8,2013-08-30,4
"Road-650 Black, 58",Distant Inn,California,2012,5,2012-05-30,3
LL Road Rear Wheel,Distant Inn,California,2012,5,2012-05-30,2
"Sport-100 Helmet, Red",Distant Inn,California,2012,5,2012-05-30,4
"Road-650 Red, 62",Distant Inn,California,2012,5,2012-05-30,1
"Women's Tights, L",Distant Inn,California,2012,5,2012-05-30,5
AWC Logo Cap,Distant Inn,California,2012,5,2012-05-30,2
"Sport-100 Helmet, Blue",Distant Inn,California,2012,5,2012-05-30,4
"Road-650 Red, 44",Distant Inn,California,2012,5,2012-05-30,3
"Women's Tights, S",Distant Inn,California,2012,5,2012-05-30,11
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2012,5,2012-05-30,2
"Road-650 Red, 62",Distant Inn,California,2013,2,2013-02-28,1
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2013,2,2013-02-28,3
"Road-650 Red, 44",Distant Inn,California,2013,2,2013-02-28,3
"Women's Tights, L",Distant Inn,California,2013,2,2013-02-28,2
LL Road Rear Wheel,Distant Inn,California,2013,2,2013-02-28,3
"Road-650 Black, 58",Distant Inn,California,2013,2,2013-02-28,5
"Road-750 Black, 48",Distant Inn,California,2013,11,2013-11-30,3
"Racing Socks, L",Distant Inn,California,2013,11,2013-11-30,10
"Road-750 Black, 52",Distant Inn,California,2013,11,2013-11-30,1
"Racing Socks, M",Distant Inn,California,2013,11,2013-11-30,9
"Classic Vest, S",Distant Inn,California,2013,11,2013-11-30,2
"Road-350-W Yellow, 40",Distant Inn,California,2013,11,2013-11-30,8
"Road-350-W Yellow, 48",Distant Inn,California,2013,11,2013-11-30,4
"Women's Tights, S",Distant Inn,California,2012,8,2012-08-30,2
AWC Logo Cap,Distant Inn,California,2012,8,2012-08-30,2
"Road-650 Red, 62",Distant Inn,California,2012,8,2012-08-30,1
LL Road Rear Wheel,Distant Inn,California,2012,8,2012-08-30,1
"Women's Tights, L",Distant Inn,California,2012,8,2012-08-30,2
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2012,8,2012-08-30,2
"Road-650 Red, 44",Distant Inn,California,2012,8,2012-08-30,3
"Short-Sleeve Classic Jersey, L",Distant Inn,California,2013,5,2013-05-30,9
"Road-750 Black, 48",Distant Inn,California,2013,5,2013-05-30,3
"Long-Sleeve Logo Jersey, L",Distant Inn,California,2013,5,2013-05-30,5
Bike Wash - Dissolver,Distant Inn,California,2013,5,2013-05-30,6
Hitch Rack - 4-Bike,Distant Inn,California,2013,5,2013-05-30,1
AWC Logo Cap,Distant Inn,California,2013,5,2013-05-30,4
